manufacturer,model,aliases,category,likely_valuable_components,component_type,confidence_level,desirability_score,maximum_worthwhile_delivered_price_gbp,ideal_fault_types,risky_fault_types,salvage_difficulty,package_or_removal_notes,source_or_verification_note,general_comments
Arcam,CD73,DiVA CD73|CD 73,CD player,Wolfson DAC stage probable; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,72,90,laser fault; tray fault; missing remote,burnt board; no sound; water damage,medium,Check audio board photos,Common Arcam DiVA model; exact DAC verify,May be worth more intact.
Audiolab,8000CD (new version),8000CD New|Audiolab 8000 CD,CD player,Cirrus Logic CS4398 DAC; analogue output-stage op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,82,110,no disc; tray fault; worn laser; missing remote; cosmetic damage,no audio; liquid damage; burnt PCB; missing main board,medium,CS4398 is a fine-pitch surface-mount device; preserve the analogue board until traced.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,"Good CS4398 donor, but a tidy working example may be worth more intact."
Audiolab,8000CDE,8000 CDE|Audiolab 8000CDE,CD player,Cirrus Logic CS4398 DAC; VAM1202 transport; analogue-stage op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,84,105,no disc; tray fault; worn laser; display fault,no audio; corrosion; missing main PCB,medium,Trace the differential output/filter stage before removing the DAC.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Particularly relevant as a CS4398 implementation reference.
Audiolab,8200CD,8200 CD|Audiolab 8200 CD,CD player,ESS ES9018S DAC; USB/digital interface parts; analogue output stage; transformer,standalone DAC|op-amp|DSP,confirmed,77,130,disc mechanism fault; display fault; cosmetic damage,no audio; digital board fault; liquid damage,hard,ES9018S requires significant firmware/control support and is more useful as a board-level donor.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Often more sensible to repair than strip.
Cambridge Audio,Azur 540C,540C|Azur540C|540C V2,CD player,Wolfson DAC stage probable; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,65,60,laser fault; tray fault; missing remote,no sound; burnt board; water damage,medium,V1/V2 differs; verify DAC marking,Cambridge Azur series commonly Wolfson DAC; verify revision,Good donor if rough.
Cambridge Audio,Azur 540C V2,540C V2|Azur540C V2,CD player,Wolfson WM8740 DAC; op-amps; Sanyo SF-P101N transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,72,55,no disc; tray fault; laser fault; cosmetic damage,no audio; burnt board; water damage,medium,WM8740 is software controlled; salvage the nearby control and filter circuitry for reference.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,"A useful, fairly common UK donor."
Cambridge Audio,Azur 640C,640C|Azur640C|640C V2,CD player,dual Wolfson DAC stage probable in V2; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,72,80,laser fault; tray fault; missing remote,no sound; burnt board; water damage,medium,Verify V2 if paying for dual DAC claim,Commonly documented 640C V2 uses dual Wolfson DACs; verify board,Often repairable intact.
Cambridge Audio,Azur 640C V2,640C V2|Azur640C V2,CD player,2 x Wolfson WM8740 DACs; op-amps; Sanyo SF-P101N transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,83,80,no disc; tray fault; worn laser; missing remote,no audio; missing DAC board; corrosion,medium,Dual WM8740 arrangement is useful to study before harvesting.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,One of the better realistic UK-market donor searches.
Cambridge Audio,Azur 650C,650C|Azur650C,CD player,2 x Wolfson WM8740 DACs; op-amps; Sanyo SF-P101N transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,82,85,laser fault; tray fault; no disc; display fault,no sound; liquid damage; board missing,medium,Software-controlled DACs; keep controller board information.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Often overlooked beside the 640C.
Cambridge Audio,Azur 740C,740C|Azur740C,CD player,2 x Wolfson WM8740 DACs; upsampling DSP; analogue output stage; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,confirmed,84,110,transport fault; display fault; cosmetic damage,digital board failure; no audio; corrosion,hard,Dual DAC plus DSP architecture; better as a board-level donor or repair project.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Useful but usually valuable intact.
Cambridge Audio,Azur 840C,840C|Azur840C,CD player,2 x Analog Devices AD1955A DACs; Anagram upsampler; op-amps; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,confirmed,91,160,transport fault; tray fault; display fault,no audio; digital board fault; liquid damage,hard,AD1955A is attractive but the surrounding architecture is complex.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,A genuine hidden-gem donor only when badly priced or mechanically faulty.
Cambridge Audio,CD200,Cambridge CD200,CD player,Analog Devices AD1865N DAC; digital filter; transformer; transport,standalone DAC|transformer or mechanical salvage,confirmed,88,95,no disc; tray fault; laser failure; cosmetic damage,no audio; modified unit; missing main board,medium,AD1865N is a desirable through-hole multibit DAC and relatively pleasant to remove.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Worth a specific saved search.
Cambridge Audio,D300,D300 SE|D300SE,CD player,DAC stage; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,52,35,tray fault; no disc; missing remote,burnt board; water damage; no sound,easy,Low-price only,Exact IC not assumed,Cheap common unit.
Cambridge Audio,D500,D500 SE|D500SE,CD player,DAC stage; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,58,45,laser fault; tray fault; missing remote,burnt board; no sound; water damage,medium,Verify DAC before bidding,Common UK Cambridge CD player; exact DAC varies,Good low-cost donor.
Cambridge Audio,D500 SE,D500SE|D500 Special Edition,CD player,Cirrus Logic CS4391 DAC; op-amps; KSS-213 transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,69,45,laser fault; tray fault; no disc,no audio; burnt output stage,medium,Confirm SE version; ordinary D500 uses a different DAC.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Model suffix matters.
CEC,TL51XR,TL 51 XR|CEC TL-51XR,CD player,2 x Burr-Brown PCM1796 DACs; belt-drive transport; analogue output stage,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,91,180,belt/transport fault; display fault; cosmetic damage,no audio; missing DAC board; liquid damage,hard,Dual current-output DAC implementation; keep I/V circuitry intact for study.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Rare and usually valuable intact.
Denon,DCD-1015,DCD1015,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,64,60,laser fault; tray fault,no sound; burnt PCB; water damage,medium,Verify chip markings,Model-specific component uncertainty,Buy only cheaply.
