manufacturer,model,aliases,category,likely_valuable_components,component_type,confidence_level,desirability_score,maximum_worthwhile_delivered_price_gbp,ideal_fault_types,risky_fault_types,salvage_difficulty,package_or_removal_notes,source_or_verification_note,general_comments
Marantz,CD-60,CD60|Marantz CD60 vintage,CD player,Philips TDA1541A DAC; SAA7220 digital filter; CDM-4 transport; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,91,130,tray fault; laser fault; no disc; cosmetic damage,no sound; missing DAC; corrosion,medium,TDA1541A is through-hole; avoid overheating and preserve provenance.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Use aliases carefully to avoid the unrelated modern CD 60.
Marantz,CD-63,CD63|CD-63 KI|CD63SE,CD player,DAC stage; op-amps; transformer; CD transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,70,70,tray fault; laser fault; missing remote,no sound; burnt board; water damage,medium,KI/SE worth more intact; salvage base faulty units,Common modding platform; exact DAC should be verified by revision,KI Signature usually too valuable intact.
Marantz,CD-67,CD67|CD67SE|CD-67SE,CD player,DAC stage; op-amps; transformer; CD transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,68,60,laser fault; tray fault; missing remote,no sound; burnt PCB; corrosion,medium,Good op-amp/PSU donor if cheap,Common UK player; verify DAC chip by photo,Avoid high-price SE variants for salvage.
Marantz,CD-72,CD72|CD72SE,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,72,80,tray fault; no disc; missing remote,burnt board; water damage; no sound,medium,Sturdy chassis; check DAC board,Model-specific DAC varies; verify internals,Can be worth repair intact.
Marantz,CD-72 Mk II,CD72 Mk2|CD-72 MKII,CD player,Philips TDA1547 DAC; SAA7350; SM5840; CDM-4 transport,standalone DAC|DSP|transformer or mechanical salvage,confirmed,88,115,tray fault; laser fault; display fault,no audio; missing board; water damage,hard,Do not confuse with ordinary CD-72 variants.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Suffix and revision are essential.
Marantz,CD6000,CD-6000|CD6000 OSE|CD6000OSE,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,68,65,laser fault; tray fault; missing remote,no sound; burnt board; water damage,medium,OSE units can be worth intact,Common UK player; verify board photos,Do not overpay.
Marantz,CD7300,CD-7300,CD player,Cirrus/Crystal DAC stage probable; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,66,70,no disc; tray fault; missing remote,no sound; burnt board; corrosion,medium,Check DAC chip markings,Exact chip should be verified; model is common donor class,Good if cosmetically rough.
Meridian,206,Meridian 206 CD,CD player,Philips TDA1541A-S1 DAC; CDM-4/21 transport; analogue stage; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,97,220,transport fault; display fault; tray fault,no audio; missing DAC board; modified unit,medium,Single-crown TDA1541A-S1 has high collector value.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Usually worth preserving intact.
Meridian,508.24,508 24|508-24,CD player,Cirrus Logic CS4390 DAC; analogue output stage; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,77,105,transport fault; display fault; cosmetic damage,no audio; digital board fault,medium,Board-level study may be more useful than bare-chip salvage.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Model is often listed without punctuation.
Meridian,588,Meridian 588 CD,CD player,Analog Devices AD1852 DAC; op-amps; DVD-ROM transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,72,95,transport fault; disc read fault; cosmetic damage,no audio; processor board failure,medium,AD1852 is software controlled; retain control context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Not exotic enough to overpay for.
Mission-Cyrus,CD 6S,Cyrus CD6S|CD6 S|CD 6 S,CD player,Burr-Brown PCM1738 DAC; op-amps; Philips transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,76,80,transport fault; no disc; display fault,no audio; PSU damage; missing boards,medium,Compact densely packed construction.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Search both Cyrus and Mission-Cyrus.
Mission-Cyrus,CD 8x,Cyrus CD8x|CD8 X|CD 8 X,CD player,2 x Burr-Brown PCM1738 DACs; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,85,120,disc read fault; tray fault; cosmetic damage,no sound; PSU failure; missing audio board,hard,Dual DAC architecture; trace before stripping.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Can still command good money intact.
Music Hall,CD25.2,CD 25.2|Music Hall CD25 2,CD player,Burr-Brown PCM1738E DAC; VAM1202 transport; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,75,75,no disc; tray fault; laser fault,no audio; missing output board,medium,Conventional DAC/output architecture.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,"Less common in the UK, but worth including."
Musical Fidelity,A3.2 CD,A3.2|A3 2 CD,CD player,Burr-Brown PCM1738E DAC; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,77,90,laser fault; tray fault; no disc,no audio; burnt PSU; missing board,medium,"Verify that listing is the CD player, not the amplifier.",https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Use category terms in searches to reduce false matches.
Musical Fidelity,A5 CD,A5 CD Player|Musical Fidelity A5CD,CD player,Burr-Brown DSD1792 DAC; SRC4193 sample-rate converter; op-amps; transformer,standalone DAC|sample-rate converter|op-amp|transformer or mechanical salvage,confirmed,88,150,transport fault; display fault; cosmetic damage,no audio; digital board fault; liquid damage,hard,Both DAC and SRC are software-controlled surface-mount parts.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Attractive donor only at a substantial discount.
Philips,CD104,CD 104,CD player,TDA1540-family DAC probable; CDM swing-arm transport; transformer,standalone DAC|transformer or mechanical salvage,probable,78,90,no disc; tray or loading fault; missing remote; display fault,no sound; burnt PSU; water damage; missing DAC board,hard,Heavy; transport and DAC boards desirable; mains safety,Classic Philips early CD architecture; verify board revision,Often collected; avoid overpaying.
Philips,CD150,CD 150,CD player,TDA1540/TDA1541-family DAC uncertain by revision; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,uncertain,65,55,laser fault; no disc; tray fault,burnt board; water damage; missing transport,hard,Verify DAC chip before buying,Model/revision variations; internal photo required,Cheap examples can be useful.
Philips,CD160,CD 160,CD player,TDA1541-family DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,72,70,no disc; tray fault; missing remote,burnt board; water damage; no sound,hard,Old Philips mechanisms are valuable but delicate,Common online service/photo references; verify chip markings,Some units worth repairing intact.
Philips,CD204,CD 204,CD player,TDA1540-family DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,74,75,no disc; tray/load fault; display fault,burnt PSU; missing transport; water damage,hard,Heavy; mechanical parts useful,Classic Philips donor; exact DAC should be checked,Often collectible.
